City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,kerikeri,-35.2268,173.9474,19.39,78,97,0.45,NZ,1711923389
255,rudnichnyy,59.617,52.4703,1.26,94,100,4.38,RU,1711923550
256,ishigaki,24.3448,124.1572,21.07,88,75,2.57,JP,1711923551
257,northwood,40.4728,-83.7324,19.13,42,0,1.1,US,1711923551
258,la ronge,55.1001,-105.2842,2.14,38,20,6.17,CA,1711923551
259,ujae,8.9322,165.7642,27.71,79,100,8.91,MH,1711923551
260,oued zem,32.8627,-6.5736,11.71,84,9,7.91,MA,1711923551
261,yaren,-0.5472,166.916,28.17,82,63,7.39,NR,1711923447
262,vuktyl,63.8567,57.3094,-0.5,100,100,3.58,RU,1711923552
263,okhotsk,59.3833,143.3,-4.58,80,100,2.23,RU,1711923430
264,levuka,50.1834,-105.4011,-0.1,56,100,2.74,CA,1711923552
265,brodnica,53.2597,19.3965,14.65,70,45,4.52,PL,1711923552
266,roma,43.2128,-75.4557,9.82,50,0,6.69,US,1711923156
267,san antonio de pale,-1.4014,5.6325,28.71,77,96,3.79,GQ,1711923441
268,lagoa,39.05,-27.9833,13.72,68,100,6.13,PT,1711923552
269,necochea,-38.5473,-58.7368,14.87,61,100,4.26,AR,1711923398
270,remire-montjoly,4.9167,-52.2667,27.02,89,75,1.03,GF,1711923553
271,mendig,50.3667,7.2833,11.47,84,80,3.07,DE,1711923553
272,plettenberg bay,-34.0527,23.3716,18.67,90,74,3.59,ZA,1711923553
273,nar'yan-mar,67.6713,53.087,-8.27,87,98,3.58,RU,1711923432
274,laguna,38.421,-121.4238,20.16,53,75,3.6,US,1711923440
275,caconda,-13.7333,15.0667,18.84,77,100,1.31,AO,1711923554
276,la rinconada,37.4873,-5.9826,11.7,86,0,3.6,ES,1711923554
277,merizo village,13.2658,144.6691,28.31,93,100,8.59,GU,1711923489
278,mhamid,29.82,-5.72,19.64,34,0,7.57,MA,1711923554
279,renfrew,55.872,-4.3925,7.53,81,78,5.14,GB,1711923554
280,sitka,57.0531,-135.33,5.94,65,100,2.57,US,1711923447
281,jalai nur,49.45,117.7,-13.48,68,0,0.83,CN,1711923555
282,rocha,-34.4833,-54.3333,17.37,54,100,4.31,UY,1711923282
283,gisborne,-38.6533,178.0042,16.72,60,32,2.22,NZ,1711923555
284,homer,59.6425,-151.5483,5.93,52,40,8.75,US,1711923298
285,ceeldheer,3.8488,47.1806,28.01,76,8,4.52,SO,1711923555
286,viljandi,58.3639,25.59,10.12,94,68,2.39,EE,1711923555
287,palmer,42.1584,-72.3287,12.91,36,20,5.14,US,1711923556
288,rawson,-43.3002,-65.1023,15.09,28,41,2.94,AR,1711923215
289,hola,51.5377,23.1902,18.1,50,90,6.0,PL,1711923556
290,ad dawadimi,24.5077,44.3924,15.64,70,57,4.5,SA,1711923556
291,kone,-21.0595,164.8658,26.8,58,0,2.06,NC,1711923438
292,vorgashor,67.5833,63.95,-8.7,95,100,4.53,RU,1711923453
293,nicoya,10.1483,-85.452,34.67,27,56,2.11,CR,1711923556
294,labytnangi,66.6572,66.4183,-8.27,96,100,4.3,RU,1711923557
295,luderitz,-26.6481,15.1594,16.39,90,1,5.53,NA,1711923426
296,balaipungut,1.05,101.2833,24.21,97,83,1.25,ID,1711923557
297,tianpeng,30.9866,103.9393,18.26,68,91,1.81,CN,1711923557
298,bac lieu,9.285,105.7244,27.21,78,8,1.24,VN,1711923557
299,al jawf,29.5,38.75,18.0,49,0,3.74,SA,1711923479
300,bama,11.5221,13.6856,31.88,15,99,3.35,NG,1711923557
301,basco,20.4487,121.9702,26.9,75,44,2.63,PH,1711923558
302,georgetown,5.4112,100.3354,28.3,83,20,1.03,MY,1711923430
303,laascaanood,8.4774,47.3597,23.67,68,5,4.52,SO,1711923558
304,thunder bay,48.4001,-89.3168,2.63,63,87,4.35,CA,1711923282
305,yeppoon,-23.1333,150.7333,22.88,83,100,5.74,AU,1711923558
306,mogocha,53.7333,119.7667,-19.09,99,24,1.53,RU,1711923558
307,flin flon,54.7682,-101.865,-2.03,70,100,2.46,CA,1711923433
308,holualoa,19.6228,-155.9522,25.43,81,20,6.17,US,1711923559
309,sao vicente,-23.9631,-46.3919,28.1,54,23,3.58,BR,1711923489
310,auki,-8.7676,160.7034,26.97,85,100,0.6,SB,1711923320
311,fauske,67.2588,15.3918,2.02,80,100,2.87,NO,1711923559
312,kamina,-8.7386,24.9906,18.86,96,100,1.82,CD,1711923559
313,waitara,-38.925,174.25,13.89,71,30,0.45,NZ,1711923559
314,chibougamau,49.9168,-74.3659,-3.08,81,100,5.02,CA,1711923390
315,coquimbo,-29.9533,-71.3436,18.86,74,3,2.06,CL,1711923358
316,newman,37.3138,-121.0208,19.47,56,57,1.34,US,1711923466
317,mossel bay,-34.1831,22.146,19.96,82,95,2.7,ZA,1711923560
318,arkhangel'sk,64.5401,40.5433,-7.15,100,20,1.0,RU,1711923435
319,richards bay,-28.783,32.0377,22.24,76,48,5.51,ZA,1711923494
320,san sebastian de la gomera,28.0916,-17.1133,20.2,68,0,0.0,ES,1711923560
321,cabo san lucas,22.8909,-109.9124,25.9,60,84,5.36,MX,1711923474
322,salaga,8.5508,-0.5188,32.44,50,100,5.18,GH,1711923376
323,oyama,36.3,139.8,14.77,68,100,2.91,JP,1711923561
324,al ghayzah,16.2079,52.176,25.31,67,17,2.51,YE,1711923561
325,haiku-pauwela,20.9219,-156.3051,27.01,66,40,8.23,US,1711923453
326,antofagasta,-23.65,-70.4,20.63,78,8,2.71,CL,1711923353
327,nuku'alofa,-21.1333,-175.2,29.19,84,75,3.6,TO,1711923561
328,mokrous,51.2333,47.5167,9.72,80,100,3.11,RU,1711923561
329,encheng,22.1839,112.3026,25.41,88,67,2.0,CN,1711923562
330,marsa alam,25.0757,34.8918,23.88,50,0,4.03,EG,1711923562
331,kingston,17.997,-76.7936,28.98,68,50,1.97,JM,1711923204
332,morant bay,17.8815,-76.4093,30.79,75,32,5.88,JM,1711923562
333,wynyard,-41.0,145.7167,14.88,83,100,3.52,AU,1711923562
334,kourou,5.1552,-52.6478,27.03,86,99,3.29,GF,1711923562
335,lee acres,35.1487,-106.647,21.9,19,75,14.4,US,1711923563
336,pangkalanbuun,-2.6833,111.6167,23.92,99,100,0.59,ID,1711923563
337,la'ie,21.6477,-157.9253,26.98,66,8,3.58,US,1711923563
338,dawei,14.0833,98.2,22.59,74,0,1.52,MM,1711923439
339,ar raqqah,35.95,39.0167,21.32,33,90,2.26,SY,1711923563
340,mpika,-11.8343,31.4529,17.55,97,100,3.58,ZM,1711923554
341,puerto armuelles,8.2833,-82.8667,32.99,43,29,0.45,PA,1711923563
342,el alto,-4.2714,-81.2147,25.81,70,58,4.08,PE,1711923564
343,forbes,-33.3833,148.0167,25.51,43,0,1.79,AU,1711923357
344,forster,-32.1667,152.5167,20.16,95,100,2.0,AU,1711923564
345,rajanpur,29.1035,70.325,22.33,33,95,3.13,PK,1711923564
346,abu zabad,12.35,29.25,24.95,11,74,5.87,SD,1711923564
347,de aar,-30.6497,24.0123,20.1,66,65,2.66,ZA,1711923564
348,mbuji-mayi,-6.15,23.6,22.08,96,100,0.65,CD,1711923564
349,zarah sharan,33.1467,68.7917,7.06,54,78,2.34,AF,1711923565
350,adrar,20.5022,-10.0711,27.97,19,82,4.22,MR,1711923565
351,spanish wells,26.323,-81.7957,27.79,61,40,3.6,US,1711923565
352,piranhas,-16.4269,-51.8222,25.92,82,99,0.95,BR,1711923565
353,tari,12.4086,4.4914,32.38,10,15,3.74,NG,1711923566
354,crane,31.3974,-102.3501,31.02,11,100,10.45,US,1711923468
355,nyagan,62.1406,65.3936,-4.72,95,100,2.95,RU,1711923566
356,tolanaro,-25.0319,46.9987,22.75,89,97,6.53,MG,1711923426
357,lautoka,-17.6167,177.4667,28.92,74,75,1.03,FJ,1711923566
358,nizhnyaya tavda,57.6731,66.1725,1.54,99,100,4.14,RU,1711923566
359,san julian,21.0167,-102.1667,29.22,8,86,6.09,MX,1711923566
360,hassi messaoud,31.6804,6.0729,24.92,12,0,3.6,DZ,1711923566
